Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,asset1_returns,asset2_returns,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2023-08-21,57.29510498046875,39.11970138549805,4.0482151921564915,3.666626211842443,-3.6191139498936646,-3.657274765606101,0.031740660605764755,1.2022691079562928,-3.6073542843392716,-3.637474319303959,-0.02662093682319533,0.0288853748113615,-0.008531560661757531,-0.010332404946506779,0.005022197317742583,1,0.7212183,1,0,0.0,124.43346662185803
2023-08-22,56.94430160522461,38.74955749511719,4.042073625277142,3.6571193362533063,-3.6175675937881135,-3.6561535981914424,0.03187782574081505,1.2104340088014505,-3.607972464411264,-3.637557352100456,-0.020481928205313693,0.02618856013745521,-0.006122746007075519,-0.009461828114006865,0.0015575308791340968,1,0.7347175,1,0,0.0,124.43346662185803
2023-08-23,57.14340591430664,38.91548538208008,4.045564001506921,3.6613922532124064,-3.6195764511591286,-3.654948697078209,0.031801700738966404,1.112275290224935,-3.608505955626466,-3.6372350687292085,-0.020278778766957384,0.02178336132781632,0.0034964746861301244,0.004282058885028528,-0.0020106910889820277,1,0.7658806,1,0,-0.0,124.43346662185803
2023-08-24,56.991703033447266,38.80699920654297,4.042905696422832,3.658600622281772,-3.6175838205834014,-3.65369190043752,0.031686940578030114,1.1395255962058295,-3.610141651239514,-3.6359661851836598,-0.001887543206060549,0.020079532829703668,-0.002654774919907177,-0.0027877379524364754,0.0019901701715716157,1,0.7347175,1,0,0.0,124.43346662185803
2023-08-25,57.25717544555664,38.883583068847656,4.047552969874103,3.660572132466599,-3.623976200463535,-3.6525583405843256,0.031447641141329134,0.9088802556713037,-3.6126538915963593,-3.634349155160838,0.00017207118943440847,0.017635815673414334,0.004658088773967339,0.0019734548888226122,-0.0064098999593042525,1,0.7658806,1,0,-0.0,124.43346662185803
2023-08-28,57.418365478515625,39.10693359375,4.050364208222193,3.666299781033683,-3.6233080537175444,-3.6514993362322015,0.031288539210477966,0.9010098657854991,-3.615735395661067,-3.6336915370868104,-0.004194103823879747,0.015240607286350245,0.0028151935841167486,0.005744082907865655,0.0006774626850570226,1,0.7658806,1,0,0.0,124.43346662185803
2023-08-29,57.36146926879883,39.40687561035156,4.049372810830793,3.673940308956103,-3.6138832669432825,-3.650710269457332,0.03160383740039121,1.1652699653996357,-3.617415155797115,-3.632973517994714,0.0036843268448309985,0.012787302183924971,-0.0009909061193684732,0.0076697912374674715,0.009453165926733217,1,0.7347175,1,0,0.0,124.43346662185803
2023-08-30,57.33303451538086,39.34944152832031,4.04887697619073,3.672481782343901,-3.6144494194648766,-3.6496630939917356,0.031696333013916694,1.1109699822814818,-3.618930330504386,-3.6312623539247793,0.005127031694251993,0.011063361748833734,-0.0004957117343825646,-0.0014574634791945096,-0.0005653105870180953,1,0.7658806,1,0,-0.0,124.43346662185803
2023-08-31,56.72623443603515,39.477073669433594,4.038236792192633,3.6757200899699343,-3.592061533023616,-3.648445038885034,0.032415411737040024,1.7394042783973143,-3.6165668560690127,-3.628630089950598,0.02552228755978536,0.01050737127379584,-0.010583777476193434,0.0032435566085842193,0.022291618275509475,1,0.56230146,1,0,0.0,124.43346662185803
2023-09-01,56.23320770263672,39.84082794189453,4.029507466784756,3.684892214174521,-3.5671788811691525,-3.646490059520443,0.03354223499684982,2.364516805714913,-3.610869917020632,-3.625082475650939,0.056797319294382476,0.014298831383214576,-0.008691335469382722,0.009214317036436936,0.024856472624186478,0,0.4141401,0,0,0.0,124.43346662185803
