Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,ma_10,ma_30,momentum,volatility,hedged_returns,target,pred_proba,prediction,Position,strategy_return,capital
2024-06-28,62.28114318847656,51.52312850952149,4.131658702424769,3.942030804127955,-3.4938860910920204,-3.4167510126955967,0.07608583990908682,-1.0137901939255798,-3.4692987042861505,-3.4624461793956,-0.041339302412650714,0.018539522996534975,-0.0027564659888693983,0,0.47941108736325927,0,0,-0.0,110.21378545615494
2024-07-01,61.91910171508789,51.81162643432617,4.125828721990969,3.947614572619748,-3.4778098659069734,-3.4196638779225412,0.07482459556011486,-0.7770972572476795,-3.469506617663371,-3.4624323314407537,-0.003252930786852737,0.01686371611210651,0.016061317418745048,0,0.37296313101018275,0,0,0.0,110.21378545615494
2024-07-02,61.791893005371094,51.93620681762695,4.123772174715784,3.9500161734874326,-3.47170701192746,-3.422688700443829,0.0729631736744469,-0.6718226334608829,-3.47089198650255,-3.4627944312456367,-0.0016768471438290966,0.015941323192222103,0.006101936839540958,0,0.3384814491891802,0,0,0.0,110.21378545615494
2024-07-03,61.96802520751953,51.90998077392578,4.126618529555162,3.949511079465842,-3.477334808370599,-3.4259151679644724,0.07074565859342306,-0.7268239695334001,-3.4733742853288114,-3.4635134805089556,0.01857904377928765,0.0159701185122518,-0.005634966341096615,0,0.33884777503486635,0,0,-0.0,110.21378545615494
2024-07-05,62.38877487182617,51.56247329711914,4.1333853693186775,3.9427941462207126,-3.496230302757587,-3.429617138930734,0.06813746352914106,-0.9776290512834263,-3.4801109251089066,-3.4647737130089094,-0.005136872456165342,0.016738654634992543,-0.018914284500678866,0,0.4352593187562498,0,0,-0.0,110.21378545615494
2024-07-08,61.605979919433594,52.20503234863281,4.120758942442026,3.955178895388138,-3.461121251390841,-3.432779522148932,0.06476741388076876,-0.4375924179107027,-3.4809683713800537,-3.46513774658118,0.03276483970117949,0.016599348329951333,0.035043198493732,0,0.22714270795792368,0,0,0.0,110.21378545615494
2024-07-09,61.3417854309082,51.63459396362305,4.11646126538523,3.9441918735042445,-3.4643735662869397,-3.4360323855270725,0.06095540320191403,-0.4649494428900327,-3.479950034496736,-3.465962924280365,0.013436299620033676,0.016693304212676553,-0.003208774866306708,0,0.23857181616472306,0,0,-0.0,110.21378545615494
2024-07-10,61.47877883911133,52.21158981323242,4.11869205573909,3.9553044973176483,-3.4572757880541314,-3.4383795185954398,0.05881009173226204,-0.32130998102704017,-3.4786745968237858,-3.4668240212470796,0.014431223873328403,0.017021638596856743,0.007155271319534323,0,0.1995703952526663,0,0,0.0,110.21378545615494
2024-07-11,61.74296569824219,51.42805862426758,4.122980053201247,3.9401839111503327,-3.48011366044279,-3.441510401969445,0.055558051977220774,-0.6948274300397131,-3.4770945776530766,-3.4683167379072097,-0.002778852072191196,0.016787360174721516,-0.022740699856236314,0,0.3119302372685668,0,0,-0.0,110.21378545615494
2024-07-12,62.33006286621094,52.56893539428711,4.1324438594230255,3.9621253634238465,-3.475204611290161,-3.4441678725653353,0.05300378055047737,-0.5855570754102759,-3.47550569575195,-3.4694983016841534,0.021025691467426277,0.01681180187573823,0.0050706825207718804,0,0.2611050360799723,0,0,0.0,110.21378545615494
2024-07-15,62.04630279541016,53.129539489746094,4.127880925595147,3.9727330728127543,-3.456384801341597,-3.446893850261101,0.04892677643215359,-0.19398275898386988,-3.4717555667769076,-3.4704469021853486,0.004736450049243945,0.01713430803520897,0.018857563990874064,0,0.1661199934995311,0,0,0.0,110.21378545615494
2024-07-16,62.88780212402344,53.53278350830078,4.141352220004242,3.980294242087588,-3.4730684772758513,-3.449924345642582,0.044246836044525936,-0.5230686237085818,-3.471281427913796,-3.4716648174388047,-0.00869491098891162,0.017102065657428007,-0.016819058619353486,0,0.2414537409876604,0,0,-0.0,110.21378545615494
2024-07-17,63.807594299316406,54.870361328125,4.155872216171536,4.004973336216415,-3.474521620244815,-3.453040450010601,0.03849779484470048,-0.5579844331569804,-3.471562888745532,-3.4725338963356536,-0.01724583219068343,0.016863240405528016,-0.0013367350059107531,0,0.23888124699194463,0,0,-0.0,110.21378545615494
2024-07-18,63.788028717041016,55.28343963623047,4.155565535080662,4.012473399597336,-3.4664696102319663,-3.4555332807569905,0.033852467477153945,-0.32305856234427865,-3.470476368931668,-3.4722916040712613,0.01364405021082371,0.016328261340623495,0.008080121307381494,0,0.15669204526233374,0,0,0.0,110.21378545615494
2024-07-19,63.88587188720703,50.6904182434082,4.157098239711087,3.9257369034545233,-3.5559645782326,-3.459305045332549,0.03147464061850859,-3.071028961748037,-3.4764497964791694,-3.4748431405133924,-0.08075996694243903,0.022320878636048348,-0.08584191148870528,1,0.9304926203194759,1,1,-0.0,110.21378545615494
2024-07-22,63.377052307128906,50.96580123901367,4.149101844931452,3.9311548438548596,-3.536155195720203,-3.4624337277231505,0.02902947305208235,-2.5395386221715928,-3.4839531909121058,-3.4764227217045414,-0.07977039437860611,0.02492512190349115,0.01976669933185808,1,0.8487987078187945,1,1,0.01976669933185808,112.39234821549269
2024-07-23,63.562965393066406,51.3493766784668,4.1520309956001284,3.9386527976147545,-3.5339289554571356,-3.465544406285593,0.025795518772475757,-2.6510243804249405,-3.490908729829125,-3.478399085468687,-0.06086047818128426,0.027351727243776113,0.0022466919396516693,1,0.8504366614082915,1,1,0.0022466919396516693,112.64485919830697
2024-07-24,64.39468383789062,51.42805862426758,4.165031080601866,3.9401839111503327,-3.555794632088903,-3.468109763879055,0.02660722359095686,-3.2955286713811907,-3.5007606142326018,-3.4812262416396385,-0.0812730118440883,0.03125496001882017,-0.022017245175058254,1,0.939422284128582,1,1,-0.022017245175058254,110.16472971562794
2024-07-25,64.64909362792969,51.6050910949707,4.168974085443328,3.943620332251698,-3.5594545997336247,-3.4700588751487413,0.028682927040074302,-3.1166876539477384,-3.5086947081616855,-3.483661189485394,-0.09298498950165834,0.03493118162768475,-0.0036680653344691927,1,0.9260895155267799,1,1,-0.0036680653344691927,109.76063828947689
2024-07-26,65.60802459716797,53.178714752197266,4.183698014645148,3.9736582176438726,-3.5559159781483998,-3.471875993736326,0.030414416491739524,-2.7631628058653983,-3.5167658448475096,-3.4864905878883907,4.86000842001566e-05,0.03765627629343339,0.003798262402615264,1,0.8479695042375964,1,1,0.003798262402615264,110.17753799517884
2024-07-29,65.39275360107422,53.060691833496094,4.18041145111743,3.971436387325987,-3.5522228442780213,-3.4733756862102068,0.031994565616402224,-2.464392203762035,-3.526349649141152,-3.48913464006807,-0.01606764855781817,0.03967794542759928,0.003685890995238348,1,0.7932901409675679,1,1,0.003685890995238348,110.5836403903528
2024-07-30,66.22447204589844,54.545799255371094,4.193050062999492,3.99904070207961,-3.547364761581466,-3.474810247977079,0.03324944642314415,-2.182126964793114,-3.533779277571713,-3.491522441049627,-0.013435806124330263,0.040751728175100956,0.005098263983009284,1,0.7204847704350826,1,1,0.005098263983009284,111.14742498126498
2024-07-31,65.3046875,54.22124481201172,4.179063817779539,3.9930728023464765,-3.528161037852404,-3.4759802612112267,0.03381356030817912,-1.5431908431291554,-3.5391432193324723,-3.493866031526851,0.027633594236498915,0.04045846763489097,0.019046285817633235,0,0.47565394819057205,0,0,0.019046285817633235,113.2643706053521
2024-08-01,66.49845123291016,53.86717987060547,4.197178657659924,3.986521384674345,-3.5673144813989635,-3.477864024382381,0.03552801567383098,-2.517744245493269,-3.5492277064491717,-3.497692786903217,-0.007859881665338797,0.042146513732418386,-0.03942911118740859,1,0.8182915468437165,1,1,-0.0,113.2643706053521
2024-08-02,67.8389892578125,54.270416259765625,4.217137092460696,3.9939792582092593,-3.5957766276977563,-3.480420952680175,0.03807598202124574,-3.0296178560336275,-3.553208911395688,-3.5032565443279213,-0.03986064954935653,0.046141803024701174,-0.02879511745482629,1,0.9203642854060955,1,1,-0.02879511745482629,110.00290975032401
2024-08-05,66.63544464111328,53.82783508300781,4.1992366377957,3.9857907140975306,-3.5717489838660215,-3.4824229993710505,0.03950573153936219,-2.26108923982257,-3.5567682902102695,-3.507229950834143,-0.019526139588000202,0.04599520167963751,0.02377444924380033,1,0.792000206845329,1,1,0.02377444924380033,112.61816834485343
2024-08-06,66.58651733398438,54.19173812866211,4.1985021146194414,3.992528463775988,-3.563689282475273,-3.4842447984675604,0.040567738422646,-1.9583168078052042,-3.5597443229120835,-3.5102010290793144,-0.016324520893807204,0.044982588011799426,0.008081965708105454,1,0.7247797977360686,1,1,0.008081965708105454,113.52834451952619
2024-08-07,66.9876937866211,55.057228088378906,4.204508927694128,4.008373154974228,-3.5586553009811723,-3.485830953805178,0.04149684344147942,-1.754937029817565,-3.56003038980131,-3.5131552002858992,-0.03049426312876813,0.04255723403785708,0.0051276401620922556,1,0.6968796518700925,1,1,0.0051276401620922556,114.11047701842037
2024-08-08,67.25189208984375,55.77519607543945,4.208445153251125,4.021329255784213,-3.552783387958888,-3.4872211939877342,0.042254683427704984,-1.5515959096777132,-3.5593632686238363,-3.515050851479533,0.014531093440075527,0.041116109399001566,0.005942246151069817,1,0.6155979850778643,1,1,0.005942246151069817,114.78854956127982
2024-08-09,67.20296478271484,56.18827819824219,4.207717365346298,4.028708162160261,-3.5440946516168594,-3.4885062868358827,0.04273865787435267,-1.300657707698751,-3.558181135970682,-3.5168175588567143,0.05168197608089686,0.038746051032687266,0.008715551033229903,0,0.5181125674847403,1,0,0.008715551033229903,115.78899502301161
2024-08-12,66.70393371582031,56.21778106689453,4.2002639274317275,4.029233095949822,-3.530155457621367,-3.4895882450850335,0.042919027123280704,-0.9452034506702195,-3.555974397305017,-3.5180265377410254,0.04159352624465429,0.03381835811377913,0.01388946459049613,0,0.4270093150506547,0,0,0.0,115.78899502301161
2024-08-13,66.9876937866211,55.58832931518555,4.204508927694128,4.0179732748203865,-3.5490551811350137,-3.4905995039952225,0.04356318200877715,-1.3418596724181804,-3.556143439260372,-3.5204013815819604,0.014634101340259331,0.029794751876896477,-0.01885280764958077,0,0.6241037334438835,1,1,-0.0,115.78899502301161
2024-08-14,67.10511779785156,56.36530685424805,4.206260312274077,4.031853842538236,-3.5383266526164387,-3.4917013228390217,0.04388246851832865,-1.0625047166146269,-3.5571600007367747,-3.522622036271593,0.02032864836473358,0.024863338100324813,0.010822549049709305,0,0.5501387231086226,1,0,0.010822549049709305,117.0421271010647
2024-08-15,67.17361450195312,56.630855560302734,4.207280529085327,4.036553987910279,-3.5354626335970165,-3.492651206054718,0.044175457396955706,-0.9691224509029912,-3.553974815956581,-3.524559630445807,0.017320754361871415,0.016216601655728722,0.0028741450863866307,0,0.5684182199545471,1,0,0.0,117.0421271010647
