Date,KO,WRB,log_KO,log_WRB,spread,spread_mean,spread_std,z_score,Position,Entry_Value,Current_Value,hedged_returns,strategy_return,capital
2023-06-20,58.08204650878906,37.230743408203125,4.061856605928636,3.6171348556735334,-1.7972182125995713,-1.7932640224734637,0.04191280575681421,-0.09434324557154379,0,,,-0.005139561840529482,-0.0,94.90742454968338
2023-06-21,58.24322891235352,37.511016845703125,4.064627843841195,3.6246346723828045,-1.7934123865823595,-1.7947547360800051,0.04015739426598166,0.03342720617664193,0,,,0.003828896886950312,0.0,94.90742454968338
2023-06-22,58.64143753051758,37.24348068237305,4.071441571781972,3.617476914270307,-1.809652673292414,-1.796225556016735,0.038941783563950255,-0.344799750982874,0,,,-0.016245744307986667,-0.0,94.90742454968338
2023-06-23,58.02516174316406,37.14775848388672,4.060876739630361,3.614903432435933,-1.7981434986163705,-1.7972762325845304,0.03806267587345159,-0.022785209182966948,0,,,0.01143835407423401,0.0,94.90742454968338
2023-06-26,58.04412078857422,37.434940338134766,4.061203424609629,3.6226045019358133,-1.7908778920073458,-1.7978842044736312,0.03764072164944319,0.18613650746488813,0,,,0.007295264974727999,0.0,94.90742454968338
2023-06-27,57.92086410522461,37.47960662841797,4.059077666909969,3.6237969618086856,-1.786851850390903,-1.7985711132666928,0.037023478562657745,0.31653597475873063,0,,,0.0040237432582534965,0.0,94.90742454968338
2023-06-28,57.38043212890625,37.09032440185547,4.049703341527061,3.6133561378060777,-1.7847969335724643,-1.7992686035247283,0.036325963464877896,0.3983836510284464,0,,,0.0020508460401463292,0.0,94.90742454968338
2023-06-29,56.906375885009766,37.728492736816406,4.041407389072778,3.6304155845118413,-1.7566791901362024,-1.7995127877571588,0.035980039087422325,1.1904822425812733,0,,,0.028218343821007064,0.0,94.90742454968338
2023-06-30,57.09600067138672,38.00928497314453,4.044734073427676,3.6378304712784284,-1.7536986902501934,-1.7997156470625046,0.03567911965548642,1.2897447374443596,-1,1.0,,0.0030006741421462887,0.0,94.90742454968338
2023-07-03,57.43732833862305,38.08586883544922,4.05069441144764,3.6398433166260897,-1.7596308261210307,-1.80001760531292,0.035248711785830555,1.1457661045112046,-1,,1.0059538332365028,-0.005953833236502677,0.005953833236502677,95.47248752835816
2023-07-05,57.86397171020508,38.08586883544922,4.058094940645385,3.6398433166260897,-1.769495546089276,-1.8004974951162291,0.03460820983632423,0.8957975339832204,-1,,1.009901312254052,-0.009901312254052016,0.009901312254052016,96.41779043904754
2023-07-06,57.418365478515625,38.00928497314453,4.050364208222193,3.6378304712784284,-1.7612035188438449,-1.800801305967219,0.03416818221685078,1.1589082167750098,-1,,0.9917456780004993,0.00825432199950072,-0.00825432199950072,95.62192695028325
2023-07-07,56.65985870361328,38.20073699951172,4.0370660006402295,3.6428548086073533,-1.738453004052415,-1.8006051968969217,0.03449365408438708,1.8018442665556451,-1,,0.9773541845298447,0.022645815470155282,-0.022645815470155282,93.45649043766647
2023-07-10,56.23320770263672,37.9646110534668,4.029507466784756,3.6366544377415684,-1.7345780387006942,-1.8004477083567214,0.03477544648251585,1.8941430324739248,-1,,0.9961438336453605,0.0038561663546394787,-0.0038561663546394787,93.09610666361806
