Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
MCO,MOODYS CORP,Equity,0.09,166.58,50666,8439942.28,8439942.28,Financials,2252058,US6153691059,New York Stock Exchange Inc.
OKE,ONEOK INC,Equity,0.09,67.88,123878,8408838.64,8408838.64,Energy,2130109,US6826801036,New York Stock Exchange Inc.
APH,AMPHENOL CORP CLASS A,Equity,0.09,93.96,89068,8368829.28,8368829.28,Information Technology,2145084,US0320951017,New York Stock Exchange Inc.
ORLY,OREILLY AUTOMOTIVE INC,Equity,0.09,342.09,23983,8204344.47,8204344.47,Consumer Discretionary,B65LWX6,US67103H1077,NASDAQ
PPG,PPG INDUSTRIES INC,Equity,0.09,110.21,73441,8093932.61,8093932.61,Materials,2698470,US6935061076,New York Stock Exchange Inc.
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Equity,0.09,53.13,151868,8068746.84,8068746.84,Utilities,2707677,US7445731067,New York Stock Exchange Inc.
DFS,DISCOVER FINANCIAL SERVICES,Equity,0.09,77.33,103793,8026312.69,8026312.69,Financials,B1YLC43,US2547091080,New York Stock Exchange Inc.
MCK,MCKESSON CORP,Equity,0.09,132.53,60559,8025884.27,8025884.27,Health Care,2378534,US58155Q1031,New York Stock Exchange Inc.
ZBH,ZIMMER BIOMET HOLDINGS INC,Equity,0.09,129.93,61756,8023957.08,8023957.08,Health Care,2783815,US98956P1021,New York Stock Exchange Inc.
AMD,ADVANCED MICRO DEVICES INC,Equity,0.09,29.02,274455,7964684.1,7964684.1,Information Technology,2007849,US0079031078,NASDAQ
DXC,DXC TECHNOLOGY,Equity,0.09,93.43,84859,7928376.37,7928376.37,Information Technology,BYXD7B3,US23355L1061,New York Stock Exchange Inc.
TROW,T ROWE PRICE GROUP INC,Equity,0.09,111.22,71121,7910077.62,7910077.62,Financials,2702337,US74144T1088,NASDAQ
FTV,FORTIVE CORP,Equity,0.09,83.62,92791,7759183.42,7759183.42,Industrials,BYT3MK1,US34959J1088,New York Stock Exchange Inc.
GIS,GENERAL MILLS INC,Equity,0.09,43.22,179204,7745196.88,7745196.88,Consumer Staples,2367026,US3703341046,New York Stock Exchange Inc.
CCL,CARNIVAL CORP,Equity,0.09,63.12,122570,7736618.4,7736618.4,Consumer Discretionary,2523044,PA1436583006,New York Stock Exchange Inc.
IR,INGERSOLL RAND PLC,Equity,0.09,103.9,73893,7677482.7,7677482.7,Industrials,B633030,IE00B6330302,New York Stock Exchange Inc.
HPE,HEWLETT PACKARD ENTERPRISE,Equity,0.08,16.53,459416,7594146.48,7594146.48,Information Technology,BYVYWS0,US42824C1099,New York Stock Exchange Inc.
AVB,AVALONBAY COMMUNITIES REIT INC,Equity,0.08,179.99,41677,7501443.23,7501443.23,Real Estate,2131179,US0534841012,New York Stock Exchange Inc.
PCG,PG&E CORP,Equity,0.08,47.42,156407,7416819.94,7416819.94,Utilities,2689560,US69331C1080,New York Stock Exchange Inc.
PH,PARKER-HANNIFIN CORP,Equity,0.08,184.86,39955,7386081.3,7386081.3,Industrials,2671501,US7010941042,New York Stock Exchange Inc.
XEL,XCEL ENERGY INC,Equity,0.08,47.75,154631,7383630.25,7383630.25,Utilities,2614807,US98389B1008,NASDAQ
WY,WEYERHAEUSER REIT,Equity,0.08,31.98,228790,7316704.2,7316704.2,Real Estate,2958936,US9621661043,New York Stock Exchange Inc.
PAYX,PAYCHEX INC,Equity,0.08,74.78,97671,7303837.38,7303837.38,Information Technology,2674458,US7043261079,NASDAQ
ED,CONSOLIDATED EDISON INC,Equity,0.08,77.08,94744,7302867.52,7302867.52,Utilities,2216850,US2091151041,New York Stock Exchange Inc.
PCAR,PACCAR INC,Equity,0.08,69.68,104246,7263861.28,7263861.28,Industrials,2665861,US6937181088,NASDAQ
EQR,EQUITY RESIDENTIAL REIT,Equity,0.08,66.24,109198,7233275.52,7233275.52,Real Estate,2319157,US29476L1070,New York Stock Exchange Inc.
MTB,M&T BANK CORP,Equity,0.08,164.97,43779,7222221.63,7222221.63,Financials,2340168,US55261F1049,New York Stock Exchange Inc.
